EHDSAddress; ; 0..*; EHDS refined base model for Address structure; ;   ; Address model 
EHDSAdvanceDirective; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSAdvanceDirective; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSAdvanceDirective; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSAdvanceDirective; header.author[x]; 0..*; Author of the advance directive.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author of the advance directive. 
EHDSAdvanceDirective; header.author[x]; 0..*; Author of the advance directive.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author of the advance directive. 
EHDSAdvanceDirective; header.author[x]; 0..*; Author of the advance directive.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author of the advance directive. 
EHDSAdvanceDirective; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSAdvanceDirective; header.status; 1..1; Status of the resource or document; CodeableConcept;   ; Status of the resource or document 
EHDSAdvanceDirective; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSAdvanceDirective; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSAdvanceDirective; category; 0..*; Categories of directives related to decisions prior and after death, such as life support, resuscitation or organ donation.; CodeableConcept; SNOMED CT (preferred)  ; Categories of directives related to decisions prior and after death, such as life support, resuscitation or organ donation. 
EHDSAdvanceDirective; note; 0..1; Textual description of the directive; string;   ; Textual description of the directive 
EHDSAdvanceDirective; attachment; 0..1; Source document, such as a PDF, with the living will and the patient's signature.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment;   ; Source document, such as a PDF, with the living will and the patient's signature. 
EHDSAdvanceDirectiveObligations; ; 0..*; Healthcare directives concerning life or after life wishes of the patient; ;   ; Advance directive model 
EHDSAdvanceDirectiveObligations; ; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSAdvanceDirectiveObligations; ect; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSAdvanceDirectiveObligations; tifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSAdvanceDirectiveObligations; or[x]; 0..*; Author of the advance directive.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author of the advance directive. 
EHDSAdvanceDirectiveObligations; or[x]; 0..*; Author of the advance directive.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author of the advance directive. 
EHDSAdvanceDirectiveObligations; or[x]; 0..*; Author of the advance directive.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author of the advance directive. 
EHDSAdvanceDirectiveObligations; ; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSAdvanceDirectiveObligations; us; 1..1; Status of the resource or document; CodeableConcept;   ; Status of the resource or document 
EHDSAdvanceDirectiveObligations; ce; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSAdvanceDirectiveObligations; uage; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSAdvanceDirectiveObligations; ; 0..*; Categories of directives related to decisions prior and after death, such as life support, resuscitation or organ donation.; CodeableConcept; SNOMED CT (preferred)  ; Categories of directives related to decisions prior and after death, such as life support, resuscitation or organ donation. 
EHDSAdvanceDirectiveObligations; ; 0..1; Textual description of the directive; string;   ; Textual description of the directive 
EHDSAdvanceDirectiveObligations; ; 0..1; Source document, such as a PDF, with the living will and the patient's signature.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment;   ; Source document, such as a PDF, with the living will and the patient's signature. 
EHDSAlert; ; 0..*; A statement higlighting a fact about the patient that requires clinical attention to ensure safety and prevent adverse outcomes.
Example 1: intolerance to aspirin due to gastrointestinal bleeding.
Example 2: intolerance to captopril because of cough (the patient is not allergic but can't tolerate it because of persistent cough)
Example 3: the patient has a rare disease that requires special treatment
Example 4: Airway Alert / Difficult Intubation
Example 5: Diagnoses such as malignant hyperthermia, porphyria, and bleeding disorders, special treatments like anticoagulants or immunosuppressants, implanted devices.
Example 6: transplanted organs illustrate other information that has to be taken into account in a healthcare contact.
Example 7: participation in a clinical trial that has to be taken into account in a healthcare contact.; ;   ; Alert model 
EHDSAlert; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSAlert; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSAlert; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSAlert; header.author[x]; 0..*; The author of the alert statement, i.e. the setter of the alert.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The author of the alert statement, i.e. the setter of the alert. 
EHDSAlert; header.author[x]; 0..*; The author of the alert statement, i.e. the setter of the alert.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The author of the alert statement, i.e. the setter of the alert. 
EHDSAlert; header.author[x]; 0..*; The author of the alert statement, i.e. the setter of the alert.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The author of the alert statement, i.e. the setter of the alert. 
EHDSAlert; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSAlert; header.status; 1..1; Current status of the alert, indicates whether this alert is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error.; CodeableConcept; hl7:Flag-status (preferred)  ; Current status of the alert, indicates whether this alert is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error. 
EHDSAlert; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSAlert; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSAlert; code; 0..1; A coded representation of the alert.; CodeableConcept; SNOMED CT (preferred)  ; A coded representation of the alert. 
EHDSAlert; description; 0..1; Narrative representation of the alert.; string;   ; Narrative representation of the alert. 
EHDSAlert; priority; 0..1; A code that identifies the priority of the alert.; CodeableConcept; hl7:Flag-priority-code (preferred)  ; A code that identifies the priority of the alert. 
EHDSAlert; period; 0..1; Time period when alert is active. The period of time from the activation of the alert to inactivation of the alert. If the alert is active, the end of the period should be unspecified.; Period;   ; Time period when alert is active. The period of time from the activation of the alert to inactivation of the alert. If the alert is active, the end of the period should be unspecified. 
EHDSAlert; sourceReference; 0..*; A reference to the resource the alert is about.; Resource;   ; A reference to the resource the alert is about. 
EHDSAlertObligations; ; 0..*; A statement higlighting a fact about the patient that requires clinical attention to ensure safety and prevent adverse outcomes.
Example 1: intolerance to aspirin due to gastrointestinal bleeding.
Example 2: intolerance to captopril because of cough (the patient is not allergic but can't tolerate it because of persistent cough)
Example 3: the patient has a rare disease that requires special treatment
Example 4: Airway Alert / Difficult Intubation
Example 5: Diagnoses such as malignant hyperthermia, porphyria, and bleeding disorders, special treatments like anticoagulants or immunosuppressants, implanted devices.
Example 6: transplanted organs illustrate other information that has to be taken into account in a healthcare contact.
Example 7: participation in a clinical trial that has to be taken into account in a healthcare contact.; ;   ; Alert model 
EHDSAlertObligations; ; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSAlertObligations; ect; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSAlertObligations; tifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSAlertObligations; or[x]; 0..*; The author of the alert statement, i.e. the setter of the alert.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The author of the alert statement, i.e. the setter of the alert. 
EHDSAlertObligations; or[x]; 0..*; The author of the alert statement, i.e. the setter of the alert.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The author of the alert statement, i.e. the setter of the alert. 
EHDSAlertObligations; or[x]; 0..*; The author of the alert statement, i.e. the setter of the alert.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The author of the alert statement, i.e. the setter of the alert. 
EHDSAlertObligations; ; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSAlertObligations; us; 1..1; Current status of the alert, indicates whether this alert is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error.; CodeableConcept; hl7:Flag-status (preferred)  ; Current status of the alert, indicates whether this alert is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error. 
EHDSAlertObligations; ce; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSAlertObligations; uage; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSAlertObligations; ; 0..1; A coded representation of the alert.; CodeableConcept; SNOMED CT (preferred)  ; A coded representation of the alert. 
EHDSAlertObligations; ; 0..1; Narrative representation of the alert.; string;   ; Narrative representation of the alert. 
EHDSAlertObligations; ; 0..1; A code that identifies the priority of the alert.; CodeableConcept; hl7:Flag-priority-code (preferred)  ; A code that identifies the priority of the alert. 
EHDSAlertObligations; ; 0..1; Time period when alert is active. The period of time from the activation of the alert to inactivation of the alert. If the alert is active, the end of the period should be unspecified.; Period;   ; Time period when alert is active. The period of time from the activation of the alert to inactivation of the alert. If the alert is active, the end of the period should be unspecified. 
EHDSAlertObligations; ence; 0..*; A reference to the resource the alert is about.; Resource;   ; A reference to the resource the alert is about. 
EHDSAllergyIntolerance; ; 0..*; Model for allergy or intolerance.; ;   ; Allergy intolerance model 
EHDSAllergyIntolerance; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSAllergyIntolerance; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSAllergyIntolerance; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSAllergyIntolerance; header.author[x]; 0..*; The author of the allergy/intolerance information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The author of the allergy/intolerance information. 
EHDSAllergyIntolerance; header.author[x]; 0..*; The author of the allergy/intolerance information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The author of the allergy/intolerance information. 
EHDSAllergyIntolerance; header.author[x]; 0..*; The author of the allergy/intolerance information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The author of the allergy/intolerance information. 
EHDSAllergyIntolerance; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSAllergyIntolerance; header.status; 1..1; Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc.; CodeableConcept; HL7 allergy intolerance status (preferred)  ; Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc. 
EHDSAllergyIntolerance; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSAllergyIntolerance; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSAllergyIntolerance; agentOrAllergen; 1..1; Code for an allergy or intolerance statement (either a positive or a negated/excluded statement). This may be a code for a substance or pharmaceutical product that is considered to be responsible for the adverse reaction risk (e.g., "Latex"), an allergy or intolerance condition (e.g., "Latex allergy"), or a negated/excluded code for a specific substance or class (e.g., "No latex allergy")
  It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'.; CodeableConcept; ATC, EMA SPOR SMS, SNOMED CT (preferred)  ; Code that identifies the allergy or intolerance 
EHDSAllergyIntolerance; note; 0..1; Additional information about the allergy or intolerance; string;   ; Additional information about the allergy or intolerance 
EHDSAllergyIntolerance; criticality; 0..1; Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.; CodeableConcept; HL7 allergy intolerance criticality (preferred)  ; Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance. 
EHDSAllergyIntolerance; certainty; 0..1; Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition; CodeableConcept; HL7 allergy intolerance verification (preferred)  ; Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition 
EHDSAllergyIntolerance; onsetDate; 0..1; When allergy or intolerance was identified; dateTime;   ; When allergy or intolerance was identified 
EHDSAllergyIntolerance; endDate; 0..1; Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition); dateTime;   ; Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition) 
EHDSAllergyIntolerance; reaction; 0..*; Adverse reaction events linked to exposure to substance.; Base;   ; Adverse reaction events linked to exposure to substance. 
EHDSAllergyIntolerance; reaction.agentOrAllergen; 0..1; Identification of the specific substance (or pharmaceutical product) considered to be responsible for the 
  Adverse Reaction event. Note: the substance for a specific reaction may be different from the substance identified  as the cause of the risk, but it must be consistent with it.  
  It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'.; CodeableConcept;   ; Specific substance or pharmaceutical product considered to be responsible for event 
EHDSAllergyIntolerance; reaction.manifestation; 0..*; Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction).; CodeableConcept; ICD-10, SNOMED CT (preferred)  ; Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction). 
EHDSAllergyIntolerance; reaction.severity; 0..1; Severity of the clinical manifestation of the allergic reaction.; CodeableConcept; SNOMED CT, HL7 reaction event severity (preferred)  ; Severity of the clinical manifestation of the allergic reaction. 
EHDSAllergyIntolerance; reaction.onset; 0..1; Date and time of the onset of the reaction; dateTime;   ; Date and time of the onset of the reaction 
EHDSAllergyIntoleranceObligations; ; 0..*; Model for allergy or intolerance.; ;   ; Allergy intolerance model 
EHDSAllergyIntoleranceObligations; ; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSAllergyIntoleranceObligations; ect; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSAllergyIntoleranceObligations; tifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSAllergyIntoleranceObligations; or[x]; 0..*; The author of the allergy/intolerance information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The author of the allergy/intolerance information. 
EHDSAllergyIntoleranceObligations; or[x]; 0..*; The author of the allergy/intolerance information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The author of the allergy/intolerance information. 
EHDSAllergyIntoleranceObligations; or[x]; 0..*; The author of the allergy/intolerance information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The author of the allergy/intolerance information. 
EHDSAllergyIntoleranceObligations; ; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSAllergyIntoleranceObligations; us; 1..1; Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc.; CodeableConcept; HL7 allergy intolerance status (preferred)  ; Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc. 
EHDSAllergyIntoleranceObligations; ce; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSAllergyIntoleranceObligations; uage; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSAllergyIntoleranceObligations; rgen; 1..1; Code for an allergy or intolerance statement (either a positive or a negated/excluded statement). This may be a code for a substance or pharmaceutical product that is considered to be responsible for the adverse reaction risk (e.g., "Latex"), an allergy or intolerance condition (e.g., "Latex allergy"), or a negated/excluded code for a specific substance or class (e.g., "No latex allergy")
  It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'.; CodeableConcept; ATC, EMA SPOR SMS, SNOMED CT (preferred)  ; Code that identifies the allergy or intolerance 
EHDSAllergyIntoleranceObligations; ; 0..1; Additional information about the allergy or intolerance; string;   ; Additional information about the allergy or intolerance 
EHDSAllergyIntoleranceObligations; ; 0..1; Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.; CodeableConcept; HL7 allergy intolerance criticality (preferred)  ; Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance. 
EHDSAllergyIntoleranceObligations; ; 0..1; Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition; CodeableConcept; HL7 allergy intolerance verification (preferred)  ; Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition 
EHDSAllergyIntoleranceObligations; ; 0..1; When allergy or intolerance was identified; dateTime;   ; When allergy or intolerance was identified 
EHDSAllergyIntoleranceObligations; ; 0..1; Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition); dateTime;   ; Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition) 
EHDSAllergyIntoleranceObligations; ; 0..*; Adverse reaction events linked to exposure to substance.; Base;   ; Adverse reaction events linked to exposure to substance. 
EHDSAllergyIntoleranceObligations; entOrAllergen; 0..1; Identification of the specific substance (or pharmaceutical product) considered to be responsible for the 
  Adverse Reaction event. Note: the substance for a specific reaction may be different from the substance identified  as the cause of the risk, but it must be consistent with it.  
  It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'.; CodeableConcept;   ; Specific substance or pharmaceutical product considered to be responsible for event 
