EHDSAddress; ; 0..*; EHDS refined base model for Address structure; ;   ; Address model 
EHDSHealthProfessionalLaboratoryObligations; ; 0..*; Model for information about a health professional.; ;   ; Health professional model 
EHDSHealthProfessionalLaboratoryObligations; ; 0..*; An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided.; Identifier;   ; An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided. 
EHDSHealthProfessionalLaboratoryObligations; ; 0..1; Name of the health professional that has been treating or taking responsibility for the patient.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHumanName;   ; Name of the health professional that has been treating or taking responsibility for the patient. 
EHDSHealthProfessionalLaboratoryObligations; ; 0..*; Mailing and office or home addresses. The addresses are always sequences of address parts (e.g. street address line, country, postcode, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code, if this attribute is not present it is assumed to be the default address useful for any purpose.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAddress;   ; Mailing and office or home addresses. The addresses are always sequences of address parts (e.g. street address line, country, postcode, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code, if this attribute is not present it is assumed to be the default address useful for any purpose. 
EHDSHealthProfessionalLaboratoryObligations; ; 0..*; Telecommunication contact information (addresses) associated with a person, such as phone number, email, or messaging service. Multiple telecommunication addresses might be provided.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSTelecom;   ; Telecommunication contact information (addresses) associated with a person, such as phone number, email, or messaging service. Multiple telecommunication addresses might be provided. 
EHDSHealthProfessionalLaboratoryObligations; ; 0..*; Professional role that the health professional is practicing at a given organisation. This is a generalisation of the FHIR PractitionerRole resource, which is used to represent the role of a practitioner in a specific context, such as a specific organisation or location.; Base;   ; Professional role that the health professional is practicing at a given organisation. This is a generalisation of the FHIR PractitionerRole resource, which is used to represent the role of a practitioner in a specific context, such as a specific organisation or location. 
EHDSHealthProfessionalLaboratoryObligations; ; 0..*; Health professional role. Multiple roles could be provided.; CodeableConcept; ISCO, SNOMED CT (preferred)  ; Health professional role. Multiple roles could be provided. 
EHDSHealthProfessionalLaboratoryObligations; nisation; 0..1; The organisation where this role is available; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The organisation where this role is available 
EHDSHealthProfessionalLaboratoryObligations; ialty; 0..*; The specialty of a practitioner that describes the functional role they are practicing at a given organisation; CodeableConcept; SNOMED CT (preferred)  ; The specialty of a practitioner that describes the functional role they are practicing at a given organisation 
EHDSHealthProfessionalObligations; ; 0..*; Model for information about a health professional.; ;   ; Health professional model 
EHDSHealthProfessionalObligations; ; 0..*; An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided.; Identifier;   ; An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided. 
EHDSHealthProfessionalObligations; ; 0..1; Name of the health professional that has been treating or taking responsibility for the patient.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHumanName;   ; Name of the health professional that has been treating or taking responsibility for the patient. 
EHDSHealthProfessionalObligations; ; 0..1; Identifies the purpose of this name.; CodeableConcept; HL7 Name Use (preferred)  ; Identifies the purpose of this name. 
EHDSHealthProfessionalObligations; ; 0..1; Specifies the entire name as it should be displayed e.g. on an application UI.; string;   ; Specifies the entire name as it should be displayed e.g. on an application UI. 
EHDSHealthProfessionalObligations; ; 0..*; The family name/surname/last name of a person.; string;   ; The family name/surname/last name of a person. 
EHDSHealthProfessionalObligations; ; 0..*; The given name/first name.; string;   ; The given name/first name. 
EHDSHealthProfessionalObligations; ; 0..*; Name parts that come before the name. Prefixes appear in the correct order for presenting the name.; string;   ; Name parts that come before the name. Prefixes appear in the correct order for presenting the name. 
EHDSHealthProfessionalObligations; ; 0..*; Name parts that come after the name. Suffixes appear in the correct order for presenting the name.; string;   ; Name parts that come after the name. Suffixes appear in the correct order for presenting the name. 
EHDSHealthProfessionalObligations; ; 0..*; Mailing and office or home addresses. The addresses are always sequences of address parts (e.g. street address line, country, postcode, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code, if this attribute is not present it is assumed to be the default address useful for any purpose.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAddress;   ; Mailing and office or home addresses. The addresses are always sequences of address parts (e.g. street address line, country, postcode, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code, if this attribute is not present it is assumed to be the default address useful for any purpose. 
EHDSHealthProfessionalObligations; ; 0..*; Telecommunication contact information (addresses) associated with a person, such as phone number, email, or messaging service. Multiple telecommunication addresses might be provided.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSTelecom;   ; Telecommunication contact information (addresses) associated with a person, such as phone number, email, or messaging service. Multiple telecommunication addresses might be provided. 
EHDSHealthProfessionalObligations; lRole; 0..*; Professional role that the health professional is practicing at a given organisation. This is a generalisation of the FHIR PractitionerRole resource, which is used to represent the role of a practitioner in a specific context, such as a specific organisation or location.; Base;   ; Professional role that the health professional is practicing at a given organisation. This is a generalisation of the FHIR PractitionerRole resource, which is used to represent the role of a practitioner in a specific context, such as a specific organisation or location. 
EHDSHealthProfessionalObligations; lRole.role; 0..*; Health professional role. Multiple roles could be provided.; CodeableConcept; ISCO, SNOMED CT (preferred)  ; Health professional role. Multiple roles could be provided. 
EHDSHealthProfessionalObligations; lRole.organisation; 0..1; The organisation where this role is available; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The organisation where this role is available 
EHDSHealthProfessionalObligations; lRole.specialty; 0..*; The specialty of a practitioner that describes the functional role they are practicing at a given organisation; CodeableConcept; SNOMED CT (preferred)  ; The specialty of a practitioner that describes the functional role they are practicing at a given organisation 
EHDSHumanName; ; 0..*; Model for human name; ;   ; Human name model 
EHDSHumanName; use; 0..1; Identifies the purpose of this name.; CodeableConcept; HL7 Name Use (preferred)  ; Identifies the purpose of this name. 
EHDSHumanName; text; 0..1; Specifies the entire name as it should be displayed e.g. on an application UI.; string;   ; Specifies the entire name as it should be displayed e.g. on an application UI. 
EHDSHumanName; family; 0..*; The family name/surname/last name of a person.; string;   ; The family name/surname/last name of a person. 
EHDSHumanName; given; 0..*; The given name/first name.; string;   ; The given name/first name. 
EHDSHumanName; prefix; 0..*; Name parts that come before the name. Prefixes appear in the correct order for presenting the name.; string;   ; Name parts that come before the name. Prefixes appear in the correct order for presenting the name. 
EHDSHumanName; suffix; 0..*; Name parts that come after the name. Suffixes appear in the correct order for presenting the name.; string;   ; Name parts that come after the name. Suffixes appear in the correct order for presenting the name. 
EHDSImagingReport; ; 0..*; Imaging report reflects the observations and interpretations of one or more imaging studies, contains elements such as the reason why the study is requested, relevant contextual medical information, the modality used to acquire images and its settings, procedures and body localisations that were used, a description of the observations and findings, exposure information, conclusion and advice.; ;   ; Imaging report model 
EHDSImagingReport; header; 1..1; Basic metadata for this information; Base;   ; Imaging report header 
EHDSImagingReport; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSImagingReport; header.identifier; 1..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Unique identifier of the document 
EHDSImagingReport; header.author[x]; 1..*; The author of the report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The author of the report. 
EHDSImagingReport; header.author[x]; 1..*; The author of the report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The author of the report. 
EHDSImagingReport; header.author[x]; 1..*; The author of the report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The author of the report. 
EHDSImagingReport; header.date; 1..1; Date and optionally time of authoring/issuing; dateTime;   ; Date of finalising/issuing the document 
EHDSImagingReport; header.status; 1..1; Status of the report; CodeableConcept;   ; Status of the report 
EHDSImagingReport; header.source; 0..0; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSImagingReport; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSImagingReport; header.documentType; 1..1; Type of document (e.g. 18748-4 Diagnostic imaging study); CodeableConcept; LOINC (preferred)  ; Type of document (e.g. 18748-4 Diagnostic imaging study) 
EHDSImagingReport; header.documentTitle; 1..1; Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024'; string;   ; Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024' 
EHDSImagingReport; header.period; 0..1; Time of service that is being documented; Period;   ; Time of service that is being documented 
EHDSImagingReport; header.version; 0..1; Business version of the document. The exact algorithm for versioning is decided by the producer/custodian; string;   ; Business version of the document. The exact algorithm for versioning is decided by the producer/custodian 
EHDSImagingReport; header.attestation; 0..*; Document attestation details; Base;   ; Document attestation details 
EHDSImagingReport; header.attestation.attester[x]; 1..1; Attester who validated the document; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Attester who validated the document 
EHDSImagingReport; header.attestation.attester[x]; 1..1; Attester who validated the document; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Attester who validated the document 
EHDSImagingReport; header.attestation.datetime; 1..1; Date and time of the approval of the document by Attester; dateTime;   ; Date and time of the approval of the document by Attester 
EHDSImagingReport; header.legalAuthentication; 0..*; Document legal authentication details; Base;   ; Document legal authentication details 
EHDSImagingReport; header.legalAuthentication.legalAuthenticator[x]; 1..1; The person or organisation taking responsibility for the content of the document.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The person or organisation taking responsibility for the content of the document. 
EHDSImagingReport; header.legalAuthentication.legalAuthenticator[x]; 1..1; The person or organisation taking responsibility for the content of the document.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The person or organisation taking responsibility for the content of the document. 
EHDSImagingReport; header.legalAuthentication.datetime; 1..1; Date and time when the document was authorised; dateTime;   ; Date and time when the document was authorised 
EHDSImagingReport; header.eventType; 0..*; Categorisation of the event covered by the document (e.g. imaging study types, body regions, modality, etc.). Selection of such tags or labels depends on the use case and agreement between data sharing parties. This meta-data element serves primarily for searching and filtering purposes.; CodeableConcept; LOINC, SNOMED CT, dicom-cid-33-Modality (preferred)  ; Categorisation of the event covered by the document (e.g. imaging study types, body regions, modality, etc.). Selection of such tags or labels depends on the use case and agreement between data sharing parties. This meta-data element serves primarily for searching and filtering purposes. 
EHDSImagingReport; header.serviceSpecialty; 0..*; Additional details about where the content was created (e.g. clinical specialty); CodeableConcept; SNOMED CT (preferred)  ; Additional details about where the content was created (e.g. clinical specialty) 
EHDSImagingReport; header.custodian; 0..1; Organisation that is in charge of maintaining the document/report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Organisation that is in charge of maintaining the document/report. 
EHDSImagingReport; header.accessionNumber; 0..*; Accession number - an identifier, managed by the RIS at the local level, which usually uniquely identifies an imaging procedure request, and links it to imaging study(ies) and related imaging report(s).; Identifier;   ; Accession number - an identifier, managed by the RIS at the local level, which usually uniquely identifies an imaging procedure request, and links it to imaging study(ies) and related imaging report(s). 
EHDSImagingReport; header.intendedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable 
EHDSImagingReport; header.intendedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable 
EHDSImagingReport; header.intendedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable 
EHDSImagingReport; header.intendedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable 
EHDSImagingReport; header.intendedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable 
EHDSImagingReport; presentedForm; 0..*; A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment;   ; A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document 
EHDSImagingReport; body; 0..1; Imaging report structured body; Base;   ; Imaging report structured body 
EHDSImagingReport; body.orderInformation; 0..*; Order Information (Imaging Result Report could respond to multiple orders).; Base;   ; Order Information (Imaging Result Report could respond to multiple orders). 
EHDSImagingReport; body.orderInformation.orderId; 1..*; Identifier(s) of the imaging service order.; Identifier;   ; Identifier(s) of the imaging service order. 
EHDSImagingReport; body.orderInformation.orderDateAndTime; 0..1; Date and time of the order placement.; dateTime;   ; Date and time of the order placement. 
EHDSImagingReport; body.orderInformation.orderPlacer[x]; 0..1; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself. 
EHDSImagingReport; body.orderInformation.orderPlacer[x]; 0..1; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself. 
EHDSImagingReport; body.orderInformation.orderPlacer[x]; 0..1; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself. 
EHDSImagingReport; body.orderInformation.orderReason[x]; 0..*; An explanation or justification for why this service is being requested.; CodeableConcept; SNOMED CT (preferred)  ; An explanation or justification for why this service is being requested. 
EHDSImagingReport; body.orderInformation.orderReason[x]; 0..*; An explanation or justification for why this service is being requested.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition; SNOMED CT (preferred)  ; An explanation or justification for why this service is being requested. 
EHDSImagingReport; body.orderInformation.orderReason[x]; 0..*; An explanation or justification for why this service is being requested.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation; SNOMED CT (preferred)  ; An explanation or justification for why this service is being requested. 
EHDSImagingReport; body.orderInformation.orderReason[x]; 0..*; An explanation or justification for why this service is being requested.; string; SNOMED CT (preferred)  ; An explanation or justification for why this service is being requested. 
EHDSImagingReport; body.orderInformation.clinicalQuestion; 0..1; Specification of clinical question (goal of the investigation) to be answered by the imaging investigation.; string;   ; Specification of clinical question (goal of the investigation) to be answered by the imaging investigation. 
EHDSImagingReport; body.supportingInformation; 0..1; This information includes diagnosis, clinical findings and other observations. This includes observations explicitly requested by the producer (filler) to provide context or supporting information needed to complete the order. For example, reporting the metal implants present in patient's body.; Base;   ; Additional clinical information about the patient or specimen that may affect service delivery or interpretation (additional types of information may be allowed in implementations). 
EHDSImagingReport; body.supportingInformation.observation; 0..*; Clinical findings and other observations (e.g., height and weights of the patient).; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Clinical findings and other observations (e.g., height and weights of the patient). 
EHDSImagingReport; body.supportingInformation.condition; 0..*; Conditions that may influence the service or result interpretation.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; Conditions that may influence the service or result interpretation. 
EHDSImagingReport; body.supportingInformation.priorMedicationAdministration; 0..*; Medication administered before ordering the service specifically for this procedure.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedicationAdministration;   ; Medication administered before ordering the service specifically for this procedure. 
EHDSImagingReport; body.supportingInformation.device; 0..*; List of implants or devices that affect the course of the examination or its interpretation (e.g. metal implants).; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDeviceUse;   ; List of implants or devices that affect the course of the examination or its interpretation (e.g. metal implants). 
EHDSImagingReport; body.supportingInformation.pregnancyStatus; 0..1; Pregnancy status when the imaging examination was performed (e.g., pregnant, not pregnant, unknown).; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCurrentPregnancy;   ; Pregnancy status when the imaging examination was performed (e.g., pregnant, not pregnant, unknown). 
EHDSImagingReport; body.supportingInformation.sexForClinicalUse; 0..1; Sex parameter for clinical use - provides guidance on how a recipient should apply settings or reference ranges that are derived from observable information such as an organ inventory, recent hormone lab tests, genetic testing, menstrual status, obstetric history, etc. This property is intended for use in clinical decision making, and indicates that treatment or diagnostic tests should consider best practices associated with the relevant reference population.; CodeableConcept; HL7 sex-parameter-for-clinical-use (preferred)  ; Sex parameter for clinical use - provides guidance on how a recipient should apply settings or reference ranges that are derived from observable information such as an organ inventory, recent hormone lab tests, genetic testing, menstrual status, obstetric history, etc. This property is intended for use in clinical decision making, and indicates that treatment or diagnostic tests should consider best practices associated with the relevant reference population. 
EHDSImagingReport; body.specimen; 0..*; Specimen information. Note: A specimen (not attached to a body) can be used for diagnostic, forensic and medical research purposes.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSSpecimen;   ; Specimen information. Note: A specimen (not attached to a body) can be used for diagnostic, forensic and medical research purposes. 
EHDSImagingReport; body.exposureInformation; 0..1; Information on total exposure to ionising radiation. This information is required by regulations in several EU countries.; string;   ; Information on total exposure to ionising radiation. This information is required by regulations in several EU countries. 
EHDSImagingReport; body.examinationReport; 1..1; Examination report content.; Base;   ; Examination report content. 
EHDSImagingReport; body.examinationReport.modality; 1..*; Imaging modality (or modalities) used during imaging investigation (DICOM CID029).; CodeableConcept; DICOM Modality (preferred)  ; Imaging modality (or modalities) used during imaging investigation (DICOM CID029). 
EHDSImagingReport; body.examinationReport.bodySite; 0..*; All body parts investigated; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure;   ; All body parts investigated 
EHDSImagingReport; body.examinationReport.imagingProcedures; 0..*; Imaging procedure performed during imaging study.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure;   ; Imaging procedure performed during imaging study. 
EHDSImagingReport; body.examinationReport.medicationAdministration; 0..*; Information about medications administered (contrast, sedation, stress agents, etc) during the procedure.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedicationAdministration;   ; Information about medications administered (contrast, sedation, stress agents, etc) during the procedure. 
EHDSImagingReport; body.examinationReport.adverseReaction; 0..*; Adverse reactions manifested during imaging investigation.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAllergyIntolerance;   ; Adverse reactions manifested during imaging investigation. 
EHDSImagingReport; body.examinationReport.results[x]; 0..*; Imaging report result data (report could consist of multiple observations); http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Imaging report result data (report could consist of multiple observations) 
EHDSImagingReport; body.examinationReport.results[x]; 0..*; Imaging report result data (report could consist of multiple observations); string;   ; Imaging report result data (report could consist of multiple observations) 
EHDSImagingReport; body.examinationReport.conclusion; 0..1; A concise and clinically contextualised summary including interpretation/impression of the diagnostic report.; Base;   ; A concise and clinically contextualised summary including interpretation/impression of the diagnostic report. 
EHDSImagingReport; body.examinationReport.conclusion.impression; 1..1; Narrative description of the clinical conclusion (impression).; string;   ; Narrative description of the clinical conclusion (impression). 
EHDSImagingReport; body.examinationReport.conclusion.conditionOrFinding[x]; 0..*; Condition or finding from imaging investigation.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; Condition or finding from imaging investigation. 
EHDSImagingReport; body.examinationReport.conclusion.conditionOrFinding[x]; 0..*; Condition or finding from imaging investigation.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Condition or finding from imaging investigation. 
EHDSImagingReport; body.recommendation; 0..1; Recommendation section for additional imaging tests or other actions; Base;   ; Recommendation section for additional imaging tests or other actions 
EHDSImagingReport; body.recommendation.description; 1..1; Narrative description of the recommended activities including additional test, medication etc.; string;   ; Narrative description of the recommended activities including additional test, medication etc. 
EHDSImagingReport; body.recommendation.carePlan; 0..*; A complex and structured information about recommended goals, activities and objectives in the form of one or more formal care plan.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCarePlan;   ; A complex and structured information about recommended goals, activities and objectives in the form of one or more formal care plan. 
EHDSImagingReport; body.comparisonStudy; 0..*; Documentation (reference) of a prior Imaging Report to which the current images were compared.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSImagingReport;   ; Documentation (reference) of a prior Imaging Report to which the current images were compared. 
EHDSImagingReport; dicomStudyMetadata; 0..*; Metadata of the DICOM study. A study comprises a set of series, each of which includes a set of Service-Object Pair Instances (SOP Instances - images or other data) acquired or produced in a common context. A series is of only one modality (e.g. X-ray, CT, MR, ultrasound), but a study may have multiple series of different modalities.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSImagingStudy;   ; Metadata of the DICOM study. A study comprises a set of series, each of which includes a set of Service-Object Pair Instances (SOP Instances - images or other data) acquired or produced in a common context. A series is of only one modality (e.g. X-ray, CT, MR, ultrasound), but a study may have multiple series of different modalities. 
EHDSImagingReport; attachments; 0..*; Report attachments; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment;   ; Report attachments 
EHDSImagingReportObligations; ; 0..*; Imaging report reflects the observations and interpretations of one or more imaging studies, contains elements such as the reason why the study is requested, relevant contextual medical information, the modality used to acquire images and its settings, procedures and body localisations that were used, a description of the observations and findings, exposure information, conclusion and advice.; ;   ; Imaging report model 
EHDSImagingReportObligations; ; 1..1; Basic metadata for this information; Base;   ; Imaging report header 
EHDSImagingReportObligations; ect; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSImagingReportObligations; tifier; 1..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Unique identifier of the document 
EHDSImagingReportObligations; or[x]; 1..*; The author of the report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The author of the report. 
EHDSImagingReportObligations; or[x]; 1..*; The author of the report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The author of the report. 
EHDSImagingReportObligations; or[x]; 1..*; The author of the report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The author of the report. 
EHDSImagingReportObligations; ; 1..1; Date and optionally time of authoring/issuing; dateTime;   ; Date of finalising/issuing the document 
EHDSImagingReportObligations; us; 1..1; Status of the report; CodeableConcept;   ; Status of the report 
EHDSImagingReportObligations; ce; 0..0; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSImagingReportObligations; uage; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSImagingReportObligations; mentType; 1..1; Type of document (e.g. 18748-4 Diagnostic imaging study); CodeableConcept; LOINC (preferred)  ; Type of document (e.g. 18748-4 Diagnostic imaging study) 
EHDSImagingReportObligations; mentTitle; 1..1; Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024'; string;   ; Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024' 
EHDSImagingReportObligations; od; 0..1; Time of service that is being documented; Period;   ; Time of service that is being documented 
EHDSImagingReportObligations; ion; 0..1; Business version of the document. The exact algorithm for versioning is decided by the producer/custodian; string;   ; Business version of the document. The exact algorithm for versioning is decided by the producer/custodian 
EHDSImagingReportObligations; station; 0..*; Document attestation details; Base;   ; Document attestation details 
EHDSImagingReportObligations; station.attester[x]; 1..1; Attester who validated the document; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Attester who validated the document 
EHDSImagingReportObligations; station.attester[x]; 1..1; Attester who validated the document; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Attester who validated the document 
EHDSImagingReportObligations; station.datetime; 1..1; Date and time of the approval of the document by Attester; dateTime;   ; Date and time of the approval of the document by Attester 
EHDSImagingReportObligations; lAuthentication; 0..*; Document legal authentication details; Base;   ; Document legal authentication details 
EHDSImagingReportObligations; lAuthentication.legalAuthenticator[x]; 1..1; The person or organisation taking responsibility for the content of the document.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The person or organisation taking responsibility for the content of the document. 
EHDSImagingReportObligations; lAuthentication.legalAuthenticator[x]; 1..1; The person or organisation taking responsibility for the content of the document.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The person or organisation taking responsibility for the content of the document. 
EHDSImagingReportObligations; lAuthentication.datetime; 1..1; Date and time when the document was authorised; dateTime;   ; Date and time when the document was authorised 
EHDSImagingReportObligations; tType; 0..*; Categorisation of the event covered by the document (e.g. imaging study types, body regions, modality, etc.). Selection of such tags or labels depends on the use case and agreement between data sharing parties. This meta-data element serves primarily for searching and filtering purposes.; CodeableConcept; LOINC, SNOMED CT, dicom-cid-33-Modality (preferred)  ; Categorisation of the event covered by the document (e.g. imaging study types, body regions, modality, etc.). Selection of such tags or labels depends on the use case and agreement between data sharing parties. This meta-data element serves primarily for searching and filtering purposes. 
EHDSImagingReportObligations; iceSpecialty; 0..*; Additional details about where the content was created (e.g. clinical specialty); CodeableConcept; SNOMED CT (preferred)  ; Additional details about where the content was created (e.g. clinical specialty) 
EHDSImagingReportObligations; odian; 0..1; Organisation that is in charge of maintaining the document/report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Organisation that is in charge of maintaining the document/report. 
EHDSImagingReportObligations; ssionNumber; 0..*; Accession number - an identifier, managed by the RIS at the local level, which usually uniquely identifies an imaging procedure request, and links it to imaging study(ies) and related imaging report(s).; Identifier;   ; Accession number - an identifier, managed by the RIS at the local level, which usually uniquely identifies an imaging procedure request, and links it to imaging study(ies) and related imaging report(s). 
